Run,Reference,,T_C,P_kbar,fO2_value,fO2_unit,fO2_comment,n_cpx,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeO_Cpx,Fe2O3_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,P2O5_Cpx,Cr2O3_Cpx,NiO_Cpx,SiO2_Cpx_sd,TiO2_Cpx_sd,Al2O3_Cpx_sd,FeO_Cpx_sd,Fe2O3_Cpx_sd,MnO_Cpx_sd,MgO_Cpx_sd,CaO_Cpx_sd,Na2O_Cpx_sd,K2O_Cpx_sd,P2O5_Cpx_sd,Cr2O3_Cpx_sd,NiO_Cpx_sd,Cpx_sd,n_Liq,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeO_Liq,Fe2O3_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Cr2O3_Liq,NiO_Liq,H2O_Liq,H2O_Method,UnnormalizedTotal_Liq,Total_100_norm,SiO2_Liq_sd,TiO2_Liq_sd,Al2O3_Liq_sd,FeO_Liq_sd,Fe2O3_Liq_sd,MnO_Liq_sd,MgO_Liq_sd,CaO_Liq_sd,Na2O_Liq_sd,K2O_Liq_sd,P2O5_Liq_sd,Cr2O3_Liq_sd,NiO_Liq_sd,SiO2_Start,TiO2_Start,Al2O3_Start,Cr2O3_Start,FeO_Start,Fe2O3_Start,MnO_Start,MgO_Start,CaO_Start,Na2O_Start,K2O_Start,P2O5_Start,NiO_Start,H2O_Start,H2O_sat,Bt_Frac,Amph_Frac,Phl_Frac,Ap_Frac,Liq_frac,H2O_measurement,Comments
7_4,DiCarlo_et_al_2006,,1075,"4,1",,,,6,"48,8","0,83","7,33","6,44",,"0,19","14,2","21,4","0,47","0,24",,"0,1","0,04","0,70","0,11","1,08","0,69",,"0,10","0,70","0,90","0,20","0,20",,"0,07",,,,"49,14","0,9","18,09","6,04",,"0,16","4,9","8,91","2,75","2,38",0,0,,"2,9",By_difference,"93,27",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
16_7,DiCarlo_et_al_2006,,1100,"3,1",,,,2,"53,5","0,34","2,75","3,87",,"0,1","16,1","23,6","0,25","0,01",,"0,7","0,1","1,00","0,14","1,08","0,36",,"0,14","0,30","0,10","0,03","0,02",,"0,13",,,,"46,87","0,81","14,34","7,3",,"0,16","7,05","11,3","2,17","1,8",0,"0,02",,4,By_difference,"91,82",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
9_1,DiCarlo_et_al_2006,,1100,1,,,,4,51,"0,37","2,93","4,15",,"0,14","16,2","23,1","0,19","0,03",,"0,44","0,07","1,10","0,03","0,62","0,27",,"0,06","0,30","0,30","0,05","0,04",,"0,16",,,,"47,55","0,81","15,16","7,28",,"0,19","6,37","11,42","2,25","1,86","0,65","0,05",,"2,6",By_difference,"93,59",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
10_1,DiCarlo_et_al_2006,,1100,4,,,,16,48,"0,64","6,53","6,94",,"0,13","13,8","21,5","0,37","0,1","0,25","0,14","0,05","0,70","0,12","0,70","0,55",,"0,10","0,50","0,60","0,09","0,11","0,05","0,04",,,,"48,79","0,82","17,01","7,57",,"0,19","5,36","8,88","2,57","2,1","0,73","0,03",,"3,5",By_difference,"94,05",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
10_2,DiCarlo_et_al_2006,,1100,4,,,,4,"48,8","0,73","8,05","7,83",,"0,19",13,"17,8","0,83","0,51",,"0,09",0,"0,50","0,05","0,81","0,23",,"0,07","0,70","0,90","0,22","0,29",,"0,06",,,,"50,63","1,01","17,23","7,77",,"0,15","4,15","7,53","3,12","3,11","0,99","0,01",,"2,2",By_difference,"95,7",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
11_4,DiCarlo_et_al_2006,,1050,"3,9",,,,4,"50,1","0,69","6,24","8,11",,"0,2","14,6","19,7","0,46","0,17",,"0,12","0,01","0,80","0,07","0,30","0,16",,"0,14","0,50","10,00","0,13","0,14",,"0,09",,,,"51,29","0,99","18,49","7,06",,"0,16","3,17","7,11","3,32","3,23",0,0,,"2,5",By_difference,"94,82",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
11_7,DiCarlo_et_al_2006,,1050,"3,9",,,,5,"48,9","0,86","7,19","8,21",,"0,18","13,7","20,2","0,5","0,19",,"0,05","0,02","0,70","0,10","0,93","0,55",,"0,08","0,40","0,60","0,07","0,09",,"0,08",,,,"50,02","0,94","17,58","7,79",,"0,15","3,53","7,03","3,24","3,17",0,0,,"2,7",By_difference,"93,45",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
12_1,DiCarlo_et_al_2006,,1100,"0,5",,,,3,"49,3","0,76","8,52","6,62",,"0,23","12,4","19,2","0,76","0,56","0,34","0,1","0,03","0,50","0,22","0,76","1,07",,"0,12","0,40","0,40","0,05","0,23","0,14","0,11",,,,"49,84","1,12","16,58","7,58",,"0,2","3,95","9,21","2,91","2,92","0,92","0,05",,"1,7",By_difference,"95,28",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
12_2,DiCarlo_et_al_2006,,1100,"0,5",,,,3,"50,5","0,77","6,38","6,87",,"0,12","13,8","19,9","0,56","0,4","0,35","0,04","0,05","0,40","0,10","1,10","0,53",,"0,08","1,00","1,10","0,18","0,28","0,08","0,04",,,,"51,07","1,13","15,84","7,73",,"0,19","4,2","8,63","3,02","3,18","0,91","0,03",,"1,2",By_difference,"95,93",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
12_3,DiCarlo_et_al_2006,,1100,"0,5",,,,7,"49,5","0,65","5,04","6,51",,"0,13","14,6","20,9","0,35","0,15",,"0,12","0,06","0,80","0,11","1,75","0,53",,"0,06","0,80","0,60","0,20","0,17",,"0,05",,,,"51,02","1,04","16,49","7,65",,"0,14","4,88","9,8","2,78","2,32","0,85","0,01",,2,By_difference,"96,98",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
DGA-38,Draper&Green_1999,,1150,10,,,,4,"53,6","0,73","3,03","3,23",,na,"20,2","17,91","0,78",,,,,"0,58","0,14","0,64","0,39",,,"1,36","1,44","0,13",,,,,,,"60,6","0,35","18,21","1,49",,,"1,91","1,81","5,83","7,34",,0,,,,"97,54",,,,,,,,,,,,,,,"61,02","0,37","17,06",0,"2,11",0,0,"5,07","1,88","5,62","7,21",0,0,0,,,,,,,Anhydrous,
DGA-40,Draper&Green_1999,,1150,12,,,,6,"53,6","0,79","3,7","3,52",,na,"19,77","17,51","0,99",,,,,"0,83","0,20","1,00","0,31",,,"1,26","0,76","0,18",,,,,,,"60,7","0,37","18,43","1,38",,,"1,86","1,67","5,78","7,45",,0,,,,"97,64",,,,,,,,,,,,,,,"61,02","0,37","17,06",0,"2,11",0,0,"5,07","1,88","5,62","7,21",0,0,0,,,,,,,Anhydrous,
DGA-44,Draper&Green_1999,,1150,11,,,,8,"54,69","0,58","3,52","3,66",,na,"19,92","16,7","0,99",,,,,"0,63","0,12","0,78","0,37",,,"1,27","1,09","0,14",,,,,,,"60,96","0,38","18,38","1,48",,,"1,91","1,63","5,99","7,32",,0,,,,"98,05",,,,,,,,,,,,,,,"61,02","0,37","17,06",0,"2,11",0,0,"5,07","1,88","5,62","7,21",0,0,0,,,,,,,Anhydrous,
A8,Draper_et_al_2006,,1700,30,,,,,"51,5","0,03","5,44","11,13",,"0,19","23,61","7,52","0,03",,,"0,61",,"0,90","0,02","0,31","0,11",,"0,02","0,32","0,21","0,01",,,"0,03",, Average of 5-10 analyses,,"42,8","0,57","10,29","22,77",,"0,22","14,47","9,1","0,06",,,"0,46",,,,,,,,,,,,,,,,,,,"48,3","0,23","7,77","0,55","16,5",0,"0,19","18,27","8,59",0,0,0,0,0,,,,,,,Anhydrous,Analyses numbers not provided
A41,Draper_et_al_2006,,1675,30,,,,,"53,2","0,03","3,19","14,34",,"0,18","20,41","9,92","0,03",,,"0,28",,"0,50","0,03","0,99","0,35",,"0,01","0,32","0,57","0,01",,,"0,10",, Average of 5-10 analyses,,"45,3","0,73","6,37","26,79",,"0,22","11,74","9,9","0,02",,,"0,19",,,,,,,,,,,,,,,,,,,"48,3","0,23","7,77","0,55","16,5",0,"0,19","18,27","8,59",0,0,0,0,0,,,,,,,Anhydrous,Analyses numbers not provided
A107,Draper_et_al_2006,,1725,30,,,,,"48,3","0,21","10,73","14,5",,"0,17","17,21","7,82","0,17",,,"0,53",,"0,70","0,03","0,15","0,06",,"0,01","0,31","0,05","0,03",,,"0,01",, Average of 5-10 analyses,,"45,1","0,22","10,22","15,23",,"0,2","17,06","7,95","0,17",,,"0,55",,,,,,,,,,,,,,,,,,,"48,3","0,23","7,77","0,55","16,5",0,"0,19","18,27","8,59",0,0,0,0,0,,,,,,,Anhydrous,Analyses numbers not provided
DD-13,Draper&Johnston_1992,,1175,"0,001",,,,11,"52,1","0,43","2,53","13,55",,"0,35","19,62","9,38","0,23",,,,,"1,40","0,14","1,47","2,06",,"0,07","2,65","4,65","0,17",,,,,,,"54,7","1,84","13,04","11,79",,"0,19","4,7","9,34","2,32","0,72","0,21",,0,,,"98,85",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DD-14,Draper&Johnston_1992,,1150,"0,001",,,,8,"50,9","0,46","2,18","14,77",,"0,4","19,11","9,95","0,11",,,,,"0,80","0,18","0,68","2,93",,"0,05","2,53","2,69","0,07",,,,,,,"55,9","2,65","12,37","11,9",,"0,21","3,42","8,02","2,41","0,99","0,28",,0,,,"98,15",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-10,Draper&Johnston_1992,,1150,10,,,,51,"49,6","1,02","5,79","9,14",,"0,23","15,44","17,04","0,5",,,,,"1,20","0,24","2,19","0,86",,"0,04","0,79","1,95","0,20",,,,,,,"49,8","1,99","18,04","10,6",,"0,2","3,52","6,58","3,4","2,64","0,68",,0,,,"97,45",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-21,Draper&Johnston_1992,,1250,10,,,,9,"50,8","0,56","8,04","8,18",,"0,18","17,11","15,21","0,52",,,,,"0,10","0,12","0,27","0,62",,"0,03","0,31","0,74","0,01",,,,,,,"48,7","1,04","17,82","10,31",,"0,16","6,93","9,3","3,14","1,04","0,21",,0,,,"98,65",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-24,Draper&Johnston_1992,,1225,10,,,,9,"49,1","1,08","7,17","9,54",,"0,27","15,82","15,52","0,53",,,,,"0,50","0,09","0,60","0,79",,"0,06","0,47","1,12","0,04",,,,,,,"50,2","1,09","18,61","10,46",,"0,18","5,68","8,18","3,32","1,71","0,22",,0,,,"99,65",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-25,Draper&Johnston_1992,,1175,10,,,,24,"50,1","0,91","4,32","9,64",,"0,24","15,69",17,"0,32",,,,,"0,50","0,40","1,08","1,13",,"0,07","1,04","2,76","0,12",,,,,,,"50,5","2,84","16,49","10,44",,"0,2","4,76","7,05","3,28","2,76","0,55",,0,,,"98,87",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-26,Draper&Johnston_1992,,1275,10,,,,21,"51,6","0,57","6,23","7,63",,"0,22","18,38","15,29","0,37",,,,,"0,50","0,25","1,94","0,83",,"0,03","1,15","2,44","0,12",,,,,,,"49,2","0,9","18,05","9,91",,"0,2","7,96","10,19","2,67","0,72","0,18",,0,,,"99,98",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-30,Draper&Johnston_1992,,1275,15,,,,23,"49,4","0,74","7,29","9,83",,"0,23","15,22","15,44","0,76",,,,,"1,30","0,21","3,40","1,35",,"0,03","1,13","3,84","0,45",,,,,,,"52,8","0,99","19,83","9,05",,"0,14","4,56","6,45","4,2","2,33","0,38",,0,,,"100,73",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-33,Draper&Johnston_1992,,1200,10,,,,15,"49,4","0,75","5,46","8,86",,"0,25","16,29","17,33","0,39",,,,,"0,90","0,24","1,85","1,36",,"0,05","1,30","3,41","0,17",,,,,,,"51,5","1,13","19,36","7,96",,"0,12","3,85","6,93","4,3","3,16","0,46",,0,,,"98,77",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-34,Draper&Johnston_1992,,1325,15,,,,6,"49,1","0,48","8,6","8,8",,"0,23","17,38","13,39","0,61",,,,,"0,80","0,15","2,13","1,13",,"0,04","1,55","2,94","0,15",,,,,,,"47,8","1,19","18,29","10,36",,"0,19","5,84","8,07","3,5","1,28","0,3",,0,,,"96,82",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-36,Draper&Johnston_1992,,1375,15,,,,8,"50,4","0,29","9,96","6,47",,"0,18","17,5","14,28","0,68",,,,,"1,50","0,12","1,70","0,22",,"0,02","1,65","0,89","0,07",,,,,,,"48,8","0,91","19,14","9,48",,"0,16","6,76","8,78","3,59","0,99","0,24",,0,,,"98,85",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-37,Draper&Johnston_1992,,1200,12,,,,6,"50,8","0,79","4,1","9,09",,"0,26","15,94","17,96","0,39",,,,,"0,50","0,09","1,90","0,75",,"0,05","0,69","2,37","0,20",,,,,,,51,"1,49","19,24","9,78",,"0,15","3,34","5,54","3,88","2,5","0,32",,0,,,"97,24",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-38,Draper&Johnston_1992,,1225,12,,,,5,"49,6","0,91","5,19","9,59",,"0,23","15,74","17,36","0,48",,,,,"1,10","0,18","2,55","1,00",,"0,01","0,52","2,47","0,28",,,,,,,"50,8","1,2","18,82","8,28",,"0,16","3,46","4,91","4,57","4,03","1,19",,0,,,"97,42",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-41,Draper&Johnston_1992,,1275,12,,,,15,"49,9","0,47","8,64","8,39",,"0,23","17,18","14,05","0,62",,,,,"0,50","0,12","1,01","0,56",,"0,03","0,65","1,65","0,11",,,,,,,"49,6",1,"18,33","10,45",,"0,17","5,74","7,65","4,07","1,44","0,17",,"0,04",,,"98,66",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-42,Draper&Johnston_1992,,1425,20,,,,20,"48,5","0,29","12,05","6,02",,"0,17","16,16","14,1",1,,,,,"1,10","0,08","1,06","0,44",,"0,03","1,04","0,98","0,05",,,,,,,"48,9","0,68","17,95","8,94",,"0,18","8,87","9,72","2,85","0,82","0,14",,0,,,"99,05",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-43,Draper&Johnston_1992,,1400,20,,,,15,"49,4","0,34","12,83","6,24",,"0,16","15,17","14,8","1,31",,,,,"1,30","0,07","2,07","0,30",,"0,04","0,97","0,65","0,10",,,,,,,"49,1","0,68","17,81","8,65",,"0,16","8,23","9,37","3,1","0,82","0,16",,0,,,"98,08",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-44,Draper&Johnston_1992,,1250,15,,,,44,"48,6","0,77","7,33","10,14",,"0,24","15,21","14,6","0,74",,,,,"1,20","0,20","2,77","1,77",,"0,04","1,56","4,61","0,42",,,,,,,"47,5","0,95","20,03","9,12",,"0,15","5,63","6,46","3,76","2,65","1,13",,0,,,"97,38",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-47,Draper&Johnston_1992,,1300,20,,,,15,"48,6","0,54","10,96","7,26",,"0,14","13,46","14,92","1,6",,,,,"0,40","0,10","0,46","0,40",,"0,03","0,25","0,66","0,10",,,,,,,52,"0,99","18,22","7,69",,"0,1","4,25","6,2","4,82","2,3","0,3",,0,,,"96,87",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-48,Draper&Johnston_1992,,1300,15,,,,40,"49,4","0,53","9,27","8,77",,"0,21","16,36","13,84","0,76",,,,,"1,10","0,12","2,40","0,77",,"0,03","0,46","2,32","0,18",,,,,,,"50,4","1,05","18,27","9,87",,"0,16","5,8","7,51","3,91","1,58","0,24",,0,,,"98,79",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-50,Draper&Johnston_1992,,1315,12,,,,19,"50,5","0,5","7,99","7,45",,"0,21","17,26","14,88","0,54",,,,,"0,50","0,17","1,80","0,86",,"0,04","1,19","2,51","0,16",,,,,,,"48,5","0,75","17,45","9,97",,"0,18","7,97","10,25","3,44","0,96","0,12",,0,,,"99,59",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-51,Draper&Johnston_1992,,1365,15,,,,23,50,"0,39","9,88","6,96",,"0,2","17,17","14,08","0,69",,,,,"0,70","0,09","1,18","0,32",,"0,03","0,98","1,26","0,07",,,,,,,"48,6","0,89","17,68","9,48",,"0,18","7,98","9,52","2,95","0,81","0,21",,0,,,"98,3",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-53,Draper&Johnston_1992,,1350,15,,,,25,"49,9","0,34","9,6","6,65",,"0,19","18,38","13,15","0,63",,,,,"0,70","0,08","0,92","0,28",,"0,03","0,93","0,77","0,07",,,,,,,"50,2","0,87","18,61","9,83",,"0,18","8,12","9,59","2,91","0,75","0,17",,0,,,"101,23",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-54,Draper&Johnston_1992,,1375,20,,,,15,"48,6","0,46","11,78","6,81",,"0,16","14,35","14,9","1,34",,,,,"0,80","0,13","0,94","0,29",,"0,03","0,41","0,56","0,13",,,,,,,"50,4","0,85","17,86","9,17",,"0,15","7,76","9,29","3,03","0,98","0,21",,0,,,"99,7",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-55,Draper&Johnston_1992,,1450,20,,,,20,"49,2","0,32","11,25","5,92",,"0,17","16,34","13,95","0,89",,,,,"1,00","0,07","0,92","0,49",,"0,03","1,01","0,89","0,06",,,,,,,"48,3","0,76","17,33","9,05",,"0,17","8,95","9,91","2,57","0,71","0,14",,0,,,"97,89",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-56,Draper&Johnston_1992,,1350,20,,,,24,"50,2","0,52","11,52","7,03",,"0,15","14,22","14,9","1,6",,,,,"0,60","0,12","0,80","0,45",,"0,03","0,70","0,69","0,15",,,,,,,51,"0,94","17,68","8,9",,"0,12","6,14","8,18","3,68","1,38","0,25",,0,,,"98,27",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-58,Draper&Johnston_1992,,1325,20,,,,24,"50,1","0,53","11,13","6,7",,"0,15","13,91","15,51","1,71",,,,,"0,50","0,10","1,07","0,30",,"0,03","0,60","0,54","0,21",,,,,,,"50,5","0,93","18,82","9,36",,"0,12","4,88","7,62","4,2","1,69","0,44",,0,,,"98,56",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-59,Draper&Johnston_1992,,1300,12,,,,121,"50,6","0,44","8,54","7,51",,"0,2","17,88","13,88","0,64",,,,,"0,90","0,19","1,51","1,03",,"0,03","1,81","1,73","0,25",,,,,,,"48,3","0,99","18,34","10,46",,"0,18","6,89","8,92","3,37","1,02","0,27",,0,,,"98,74",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
DPI-60,Draper&Johnston_1992,,1250,12,,,,45,"50,4","0,66","7,65","8,95",,"0,22","16,71","14,77","0,63",,,,,"1,30","0,41","2,58","1,45",,"0,04","1,60","3,30","0,24",,,,,,,"48,5","2,82",17,"10,93",,"0,16","3,78","5,34","4,55","3,51","0,99",,0,,,"97,58",,,,,,,,,,,,,,,"49,32","0,6","15,84",0,"8,81",0,"0,16","11,35","10,67","2,1","0,51","0,1",0,0,,,,,,,Anhydrous,
87-1-78,Dunn&Sen_1994,,1115,"0,001",,,,2,"53,4","0,7",2,"7,7",,"0,37","16,2","19,9","0,29",,,,,"0,40","0,20","0,10","0,30",,"0,02","0,30","0,30","0,05",,,,,,,"55,6","2,3","14,4","9,5",,"0,2","4,54","8,5","3,3","1,52","0,44",,0,,,"100,3",,,,,,,,,,,,,,,"52,53","1,41","16,06",0,"8,62",0,"0,15","7,41","8,24","3,44","1,18","0,29",0,0,,,,,,,Anhydrous,
87-41-87,Dunn&Sen_1994,,1100,"0,001",,,,2,"54,3","0,46","1,1","15,3",,"0,41",24,"4,4","0,09",,,,,"0,20","0,05","0,10","0,10",,"0,04","0,50","0,60","0,02",,,,,,,"59,6","1,97","14,5","7,7",,"0,16","3,34","5,74","4,03","2,06",0,,0,,,"99,1",,,,,,,,,,,,,,,"56,06","1,33","16,98",0,"6,93",0,"0,12","4,78","6,94","3,84","1,47","0,34",0,0,,,,,,,Anhydrous,
SYNWC-1_Si_Al_5,Elkins-Tanton&Grove_2003,,1400,25,,,,6,"51,28","0,26","8,1","4,64",,"0,07","17,45","17,15","1,08",,,"0,43",,,,,,,,,,,,,,,sd not available,,"45,66","1,12","16,02","7,84",,"0,13","10,27","9,25","2,41","2,24","0,77","0,1",0,,,"95,81",,,,,,,,,,,,,,,"47,47","1,02","13,39","0,12","7,97",0,"0,15","13,83","11,28","2,32","1,53","0,92",0,2,,,,,,,Water added to starting material,
SYNWC-1_11,Elkins-Tanton&Grove_2003,,1410,24,,,,6,"51,16","0,37","7,15","3,42",,"0,05","16,94","19,03","0,74",,,"1,32",,,,,,,,,,,,,,,sd not available,,"43,23","1,2","13,61","8,65",,"0,17","11,39","11,03","3,25","2,92","0,74","0,17",0,,,"96,36",,,,,,,,,,,,,,,"44,4","1,19","12,91","0,13","8,73",0,"0,16","12,91","11,61","2,39","3,15","1,1",0,2,,,,,,,Water added to starting material,
SYNWC-1_16,Elkins-Tanton&Grove_2003,,1440,28,,,,6,"49,88","0,33","8,1","3,21",,"0,12","16,04","19,95","0,83",,,"1,21",,,,,,,,,,,,,,,sd not available,,"42,03","1,32","12,81","9,05",,"0,17","12,54","11,73","3,1","3,57","0,22","0,18",0,,,,,,,,,,,,,,,,,,"44,4","1,19","12,91","0,13","8,73",0,"0,16","12,91","11,61","2,39","3,15","1,1",0,2,,,,,,,Water added to starting material,
SYNWC-1_12,Elkins-Tanton&Grove_2003,,1430,26,,,,3,"51,42","0,34","7,71","3,42",,"0,13","17,24","18,74","0,91",,,"1,06",,,,,,,,,,,,,,,sd not available,,"43,73","1,41","13,71","8,52",,"0,13","12,92","11,22","2,62","3,18","0,71","0,17",0,,,,,,,,,,,,,,,,,,"44,4","1,19","12,91","0,13","8,73",0,"0,16","12,91","11,61","2,39","3,15","1,1",0,2,,,,,,,Water added to starting material,
SYNWC-1_Si_Al_6,Elkins-Tanton&Grove_2003,,1370,25,,,,4,"52,31","0,35","7,84","5,42",,"0,09","16,82","16,35","1,31",,,"0,3",,,,,,,,,,,,,,,sd not available,,"48,13","1,31","16,21","7,74",,"0,13","7,66","7,81","2,9","2,91","0,88","0,09",0,,,,,,,,,,,,,,,,,,"47,47","1,02","13,39","0,12","7,97",0,"0,15","13,83","11,28","2,32","1,53","0,92",0,2,,,,,,,Water added to starting material,
59,Ernst&Liu_1998,,900,14,,,,6,"48,15","0,97","9,11","10,52",,"0,22","12,62","17,22","1,26",,,,,"0,76","0,19","0,97","0,57",,"0,08","1,06","1,09","0,21",,,,,,,"65,14","0,62","17,12","2,9",,"0,03","0,69","2,78","0,72","0,4",,,,,,"90,4",,,,,,,,,,,,,,,"60,1","1,25","14,8",0,"10,72","1,89","0,22",7,"11,1","2,57","0,14",0,0,4,,,,,,,Bulk water content,
75,Ernst&Liu_1998,,800,18,,,,27,"50,84","0,69","7,11","10,81",,"0,07","7,76","19,14","2,15",,,,,"0,67","0,34","0,91","0,58",,"0,02","0,36","0,98","0,57",,,,,,,"64,07","0,21","14,12","0,61",,"0,02","0,11","1,58","4,27","0,43",,,,,,"85,42",,,,,,,,,,,,,,,"60,1","1,25","14,8",0,"10,72","1,89","0,22",7,"11,1","2,57","0,14",0,0,4,,,,,,,Bulk water content,
